Categoria;Palabra;Pc;Ptc;Apariciones
Comedia;divertida;0.21505376344086022;0.0026666666666666666;0
Misterio;divertida;0.21505376344086022;0.0027397260273972603;0
Infantil;divertida;0.21505376344086022;0.0024096385542168677;0
Romantica;divertida;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;divertida;0.21505376344086022;0.001834862385321101;0
Comedia;risueños;0.21505376344086022;0.0026666666666666666;0
Misterio;risueños;0.21505376344086022;0.0027397260273972603;0
Infantil;risueños;0.21505376344086022;0.0024096385542168677;0
Romantica;risueños;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;risueños;0.21505376344086022;0.001834862385321101;0
Comedia;intriga;0.21505376344086022;0.0026666666666666666;0
Misterio;intriga;0.21505376344086022;0.0273972602739726;9
Infantil;intriga;0.21505376344086022;0.0024096385542168677;0
Romantica;intriga;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;intriga;0.21505376344086022;0.001834862385321101;0
Comedia;intrigas;0.21505376344086022;0.0026666666666666666;0
Misterio;intrigas;0.21505376344086022;0.00821917808219178;2
Infantil;intrigas;0.21505376344086022;0.0024096385542168677;0
Romantica;intrigas;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;intrigas;0.21505376344086022;0.001834862385321101;0
Comedia;misterio;0.21505376344086022;0.0026666666666666666;0
Misterio;misterio;0.21505376344086022;0.07945205479452055;28
Infantil;misterio;0.21505376344086022;0.004819277108433735;1
Romantica;misterio;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;misterio;0.21505376344086022;0.005504587155963303;2
Comedia;misterioso;0.21505376344086022;0.005333333333333333;1
Misterio;misterioso;0.21505376344086022;0.030136986301369864;10
Infantil;misterioso;0.21505376344086022;0.0024096385542168677;0
Romantica;misterioso;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;misterioso;0.21505376344086022;0.001834862385321101;0
Comedia;misteriosa;0.21505376344086022;0.0026666666666666666;0
Misterio;misteriosa;0.21505376344086022;0.00821917808219178;2
Infantil;misteriosa;0.21505376344086022;0.0024096385542168677;0
Romantica;misteriosa;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;misteriosa;0.21505376344086022;0.001834862385321101;0
Comedia;misteriosos;0.21505376344086022;0.0026666666666666666;0
Misterio;misteriosos;0.21505376344086022;0.0136986301369863;4
Infantil;misteriosos;0.21505376344086022;0.0024096385542168677;0
Romantica;misteriosos;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;misteriosos;0.21505376344086022;0.001834862385321101;0
Comedia;misteriosas;0.21505376344086022;0.005333333333333333;1
Misterio;misteriosas;0.21505376344086022;0.00821917808219178;2
Infantil;misteriosas;0.21505376344086022;0.004819277108433735;1
Romantica;misteriosas;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;misteriosas;0.21505376344086022;0.001834862385321101;0
Comedia;asesinato;0.21505376344086022;0.0026666666666666666;0
Misterio;asesinato;0.21505376344086022;0.01643835616438356;5
Infantil;asesinato;0.21505376344086022;0.0024096385542168677;0
Romantica;asesinato;0.13978494623655913;0.00641025641025641;1
CienciaFiccion;asesinato;0.21505376344086022;0.003669724770642202;1
Comedia;asesinatos;0.21505376344086022;0.005333333333333333;1
Misterio;asesinatos;0.21505376344086022;0.021917808219178082;7
Infantil;asesinatos;0.21505376344086022;0.0024096385542168677;0
Romantica;asesinatos;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;asesinatos;0.21505376344086022;0.001834862385321101;0
Comedia;asesino;0.21505376344086022;0.0026666666666666666;0
Misterio;asesino;0.21505376344086022;0.03561643835616438;12
Infantil;asesino;0.21505376344086022;0.0024096385542168677;0
Romantica;asesino;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;asesino;0.21505376344086022;0.001834862385321101;0
Comedia;cadáver;0.21505376344086022;0.0026666666666666666;0
Misterio;cadáver;0.21505376344086022;0.0136986301369863;4
Infantil;cadáver;0.21505376344086022;0.0024096385542168677;0
Romantica;cadáver;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;cadáver;0.21505376344086022;0.007339449541284404;3
Comedia;muerte;0.21505376344086022;0.005333333333333333;1
Misterio;muerte;0.21505376344086022;0.024657534246575342;8
Infantil;muerte;0.21505376344086022;0.0024096385542168677;0
Romantica;muerte;0.13978494623655913;0.016025641025641024;4
CienciaFiccion;muerte;0.21505376344086022;0.011009174311926606;5
Comedia;muertes;0.21505376344086022;0.0026666666666666666;0
Misterio;muertes;0.21505376344086022;0.010958904109589041;3
Infantil;muertes;0.21505376344086022;0.0024096385542168677;0
Romantica;muertes;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;muertes;0.21505376344086022;0.001834862385321101;0
Comedia;muerto;0.21505376344086022;0.0026666666666666666;0
Misterio;muerto;0.21505376344086022;0.0027397260273972603;0
Infantil;muerto;0.21505376344086022;0.0024096385542168677;0
Romantica;muerto;0.13978494623655913;0.009615384615384616;2
CienciaFiccion;muerto;0.21505376344086022;0.001834862385321101;0
Comedia;muerta;0.21505376344086022;0.0026666666666666666;0
Misterio;muerta;0.21505376344086022;0.005479452054794521;1
Infantil;muerta;0.21505376344086022;0.0024096385542168677;0
Romantica;muerta;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;muerta;0.21505376344086022;0.001834862385321101;0
Comedia;muere;0.21505376344086022;0.005333333333333333;1
Misterio;muere;0.21505376344086022;0.010958904109589041;3
Infantil;muere;0.21505376344086022;0.0024096385542168677;0
Romantica;muere;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;muere;0.21505376344086022;0.001834862385321101;0
Comedia;matar;0.21505376344086022;0.0026666666666666666;0
Misterio;matar;0.21505376344086022;0.0136986301369863;4
Infantil;matar;0.21505376344086022;0.0024096385542168677;0
Romantica;matar;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;matar;0.21505376344086022;0.003669724770642202;1
Comedia;malvado;0.21505376344086022;0.0026666666666666666;0
Misterio;malvado;0.21505376344086022;0.005479452054794521;1
Infantil;malvado;0.21505376344086022;0.007228915662650603;2
Romantica;malvado;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;malvado;0.21505376344086022;0.001834862385321101;0
Comedia;malvada;0.21505376344086022;0.0026666666666666666;0
Misterio;malvada;0.21505376344086022;0.005479452054794521;1
Infantil;malvada;0.21505376344086022;0.0024096385542168677;0
Romantica;malvada;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;malvada;0.21505376344086022;0.005504587155963303;2
Comedia;malvados;0.21505376344086022;0.0026666666666666666;0
Misterio;malvados;0.21505376344086022;0.010958904109589041;3
Infantil;malvados;0.21505376344086022;0.016867469879518072;6
Romantica;malvados;0.13978494623655913;0.00641025641025641;1
CienciaFiccion;malvados;0.21505376344086022;0.001834862385321101;0
Comedia;malvadas;0.21505376344086022;0.0026666666666666666;0
Misterio;malvadas;0.21505376344086022;0.0027397260273972603;0
Infantil;malvadas;0.21505376344086022;0.0024096385542168677;0
Romantica;malvadas;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;malvadas;0.21505376344086022;0.001834862385321101;0
Comedia;desaparición;0.21505376344086022;0.0026666666666666666;0
Misterio;desaparición;0.21505376344086022;0.005479452054794521;1
Infantil;desaparición;0.21505376344086022;0.0024096385542168677;0
Romantica;desaparición;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;desaparición;0.21505376344086022;0.003669724770642202;1
Comedia;crimen;0.21505376344086022;0.0026666666666666666;0
Misterio;crimen;0.21505376344086022;0.0136986301369863;4
Infantil;crimen;0.21505376344086022;0.004819277108433735;1
Romantica;crimen;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;crimen;0.21505376344086022;0.005504587155963303;2
Comedia;crímenes;0.21505376344086022;0.0026666666666666666;0
Misterio;crímenes;0.21505376344086022;0.030136986301369864;10
Infantil;crímenes;0.21505376344086022;0.0024096385542168677;0
Romantica;crímenes;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;crímenes;0.21505376344086022;0.001834862385321101;0
Comedia;caso;0.21505376344086022;0.0026666666666666666;0
Misterio;caso;0.21505376344086022;0.024657534246575342;8
Infantil;caso;0.21505376344086022;0.0024096385542168677;0
Romantica;caso;0.13978494623655913;0.00641025641025641;1
CienciaFiccion;caso;0.21505376344086022;0.001834862385321101;0
Comedia;casos;0.21505376344086022;0.0026666666666666666;0
Misterio;casos;0.21505376344086022;0.0410958904109589;14
Infantil;casos;0.21505376344086022;0.0024096385542168677;0
Romantica;casos;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;casos;0.21505376344086022;0.009174311926605505;4
Comedia;detective;0.21505376344086022;0.008;2
Misterio;detective;0.21505376344086022;0.030136986301369864;10
Infantil;detective;0.21505376344086022;0.004819277108433735;1
Romantica;detective;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;detective;0.21505376344086022;0.003669724770642202;1
Comedia;sospechoso;0.21505376344086022;0.0026666666666666666;0
Misterio;sospechoso;0.21505376344086022;0.00821917808219178;2
Infantil;sospechoso;0.21505376344086022;0.0024096385542168677;0
Romantica;sospechoso;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;sospechoso;0.21505376344086022;0.001834862385321101;0
Comedia;investigación;0.21505376344086022;0.0026666666666666666;0
Misterio;investigación;0.21505376344086022;0.030136986301369864;10
Infantil;investigación;0.21505376344086022;0.0024096385542168677;0
Romantica;investigación;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;investigación;0.21505376344086022;0.003669724770642202;1
Comedia;investigaciones;0.21505376344086022;0.0026666666666666666;0
Misterio;investigaciones;0.21505376344086022;0.010958904109589041;3
Infantil;investigaciones;0.21505376344086022;0.0024096385542168677;0
Romantica;investigaciones;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;investigaciones;0.21505376344086022;0.001834862385321101;0
Comedia;suspense;0.21505376344086022;0.0026666666666666666;0
Misterio;suspense;0.21505376344086022;0.0027397260273972603;0
Infantil;suspense;0.21505376344086022;0.0024096385542168677;0
Romantica;suspense;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;suspense;0.21505376344086022;0.001834862385321101;0
Comedia;niño;0.21505376344086022;0.010666666666666666;3
Misterio;niño;0.21505376344086022;0.010958904109589041;3
Infantil;niño;0.21505376344086022;0.04096385542168675;16
Romantica;niño;0.13978494623655913;0.00641025641025641;1
CienciaFiccion;niño;0.21505376344086022;0.003669724770642202;1
Comedia;niña;0.21505376344086022;0.005333333333333333;1
Misterio;niña;0.21505376344086022;0.00821917808219178;2
Infantil;niña;0.21505376344086022;0.01927710843373494;7
Romantica;niña;0.13978494623655913;0.01282051282051282;3
CienciaFiccion;niña;0.21505376344086022;0.005504587155963303;2
Comedia;niños;0.21505376344086022;0.005333333333333333;1
Misterio;niños;0.21505376344086022;0.005479452054794521;1
Infantil;niños;0.21505376344086022;0.1710843373493976;70
Romantica;niños;0.13978494623655913;0.00641025641025641;1
CienciaFiccion;niños;0.21505376344086022;0.001834862385321101;0
Comedia;niñas;0.21505376344086022;0.0026666666666666666;0
Misterio;niñas;0.21505376344086022;0.0027397260273972603;0
Infantil;niñas;0.21505376344086022;0.08674698795180723;35
Romantica;niñas;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;niñas;0.21505376344086022;0.001834862385321101;0
Comedia;infantil;0.21505376344086022;0.0026666666666666666;0
Misterio;infantil;0.21505376344086022;0.005479452054794521;1
Infantil;infantil;0.21505376344086022;0.0819277108433735;33
Romantica;infantil;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;infantil;0.21505376344086022;0.001834862385321101;0
Comedia;infantiles;0.21505376344086022;0.0026666666666666666;0
Misterio;infantiles;0.21505376344086022;0.0027397260273972603;0
Infantil;infantiles;0.21505376344086022;0.016867469879518072;6
Romantica;infantiles;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;infantiles;0.21505376344086022;0.001834862385321101;0
Comedia;divertido;0.21505376344086022;0.0026666666666666666;0
Misterio;divertido;0.21505376344086022;0.0027397260273972603;0
Infantil;divertido;0.21505376344086022;0.0024096385542168677;0
Romantica;divertido;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;divertido;0.21505376344086022;0.001834862385321101;0
Comedia;divertida;0.21505376344086022;0.0026666666666666666;0
Misterio;divertida;0.21505376344086022;0.0027397260273972603;0
Infantil;divertida;0.21505376344086022;0.0024096385542168677;0
Romantica;divertida;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;divertida;0.21505376344086022;0.001834862385321101;0
Comedia;aventura;0.21505376344086022;0.005333333333333333;1
Misterio;aventura;0.21505376344086022;0.005479452054794521;1
Infantil;aventura;0.21505376344086022;0.014457831325301205;5
Romantica;aventura;0.13978494623655913;0.00641025641025641;1
CienciaFiccion;aventura;0.21505376344086022;0.001834862385321101;0
Comedia;aventuras;0.21505376344086022;0.018666666666666668;6
Misterio;aventuras;0.21505376344086022;0.010958904109589041;3
Infantil;aventuras;0.21505376344086022;0.03855421686746988;15
Romantica;aventuras;0.13978494623655913;0.016025641025641024;4
CienciaFiccion;aventuras;0.21505376344086022;0.011009174311926606;5
Comedia;dibujo;0.21505376344086022;0.0026666666666666666;0
Misterio;dibujo;0.21505376344086022;0.0027397260273972603;0
Infantil;dibujo;0.21505376344086022;0.0024096385542168677;0
Romantica;dibujo;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;dibujo;0.21505376344086022;0.001834862385321101;0
Comedia;dibujos;0.21505376344086022;0.0026666666666666666;0
Misterio;dibujos;0.21505376344086022;0.0027397260273972603;0
Infantil;dibujos;0.21505376344086022;0.03614457831325301;14
Romantica;dibujos;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;dibujos;0.21505376344086022;0.001834862385321101;0
Comedia;animado;0.21505376344086022;0.0026666666666666666;0
Misterio;animado;0.21505376344086022;0.0027397260273972603;0
Infantil;animado;0.21505376344086022;0.0024096385542168677;0
Romantica;animado;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;animado;0.21505376344086022;0.001834862385321101;0
Comedia;animada;0.21505376344086022;0.005333333333333333;1
Misterio;animada;0.21505376344086022;0.0027397260273972603;0
Infantil;animada;0.21505376344086022;0.04096385542168675;16
Romantica;animada;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;animada;0.21505376344086022;0.001834862385321101;0
Comedia;animados;0.21505376344086022;0.0026666666666666666;0
Misterio;animados;0.21505376344086022;0.0027397260273972603;0
Infantil;animados;0.21505376344086022;0.02891566265060241;11
Romantica;animados;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;animados;0.21505376344086022;0.001834862385321101;0
Comedia;animadas;0.21505376344086022;0.0026666666666666666;0
Misterio;animadas;0.21505376344086022;0.0027397260273972603;0
Infantil;animadas;0.21505376344086022;0.0024096385542168677;0
Romantica;animadas;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;animadas;0.21505376344086022;0.001834862385321101;0
Comedia;animación;0.21505376344086022;0.008;2
Misterio;animación;0.21505376344086022;0.005479452054794521;1
Infantil;animación;0.21505376344086022;0.05301204819277108;21
Romantica;animación;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;animación;0.21505376344086022;0.001834862385321101;0
Comedia;infancia;0.21505376344086022;0.0026666666666666666;0
Misterio;infancia;0.21505376344086022;0.00821917808219178;2
Infantil;infancia;0.21505376344086022;0.004819277108433735;1
Romantica;infancia;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;infancia;0.21505376344086022;0.001834862385321101;0
Comedia;gracioso;0.21505376344086022;0.010666666666666666;3
Misterio;gracioso;0.21505376344086022;0.0027397260273972603;0
Infantil;gracioso;0.21505376344086022;0.0024096385542168677;0
Romantica;gracioso;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;gracioso;0.21505376344086022;0.003669724770642202;1
Comedia;graciosa;0.21505376344086022;0.0026666666666666666;0
Misterio;graciosa;0.21505376344086022;0.0027397260273972603;0
Infantil;graciosa;0.21505376344086022;0.0024096385542168677;0
Romantica;graciosa;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;graciosa;0.21505376344086022;0.001834862385321101;0
Comedia;graciosos;0.21505376344086022;0.010666666666666666;3
Misterio;graciosos;0.21505376344086022;0.0027397260273972603;0
Infantil;graciosos;0.21505376344086022;0.0024096385542168677;0
Romantica;graciosos;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;graciosos;0.21505376344086022;0.001834862385321101;0
Comedia;graciosas;0.21505376344086022;0.0026666666666666666;0
Misterio;graciosas;0.21505376344086022;0.0027397260273972603;0
Infantil;graciosas;0.21505376344086022;0.0024096385542168677;0
Romantica;graciosas;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;graciosas;0.21505376344086022;0.001834862385321101;0
Comedia;héroe;0.21505376344086022;0.0026666666666666666;0
Misterio;héroe;0.21505376344086022;0.0027397260273972603;0
Infantil;héroe;0.21505376344086022;0.0024096385542168677;0
Romantica;héroe;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;héroe;0.21505376344086022;0.003669724770642202;1
Comedia;amor;0.21505376344086022;0.021333333333333333;7
Misterio;amor;0.21505376344086022;0.0027397260273972603;0
Infantil;amor;0.21505376344086022;0.0024096385542168677;0
Romantica;amor;0.13978494623655913;0.14743589743589744;45
CienciaFiccion;amor;0.21505376344086022;0.005504587155963303;2
Comedia;amoroso;0.21505376344086022;0.0026666666666666666;0
Misterio;amoroso;0.21505376344086022;0.0027397260273972603;0
Infantil;amoroso;0.21505376344086022;0.0024096385542168677;0
Romantica;amoroso;0.13978494623655913;0.00641025641025641;1
CienciaFiccion;amoroso;0.21505376344086022;0.001834862385321101;0
Comedia;amorosa;0.21505376344086022;0.0026666666666666666;0
Misterio;amorosa;0.21505376344086022;0.0027397260273972603;0
Infantil;amorosa;0.21505376344086022;0.0024096385542168677;0
Romantica;amorosa;0.13978494623655913;0.028846153846153848;8
CienciaFiccion;amorosa;0.21505376344086022;0.001834862385321101;0
Comedia;amorosos;0.21505376344086022;0.0026666666666666666;0
Misterio;amorosos;0.21505376344086022;0.0027397260273972603;0
Infantil;amorosos;0.21505376344086022;0.0024096385542168677;0
Romantica;amorosos;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;amorosos;0.21505376344086022;0.001834862385321101;0
Comedia;amorosas;0.21505376344086022;0.0026666666666666666;0
Misterio;amorosas;0.21505376344086022;0.0027397260273972603;0
Infantil;amorosas;0.21505376344086022;0.0024096385542168677;0
Romantica;amorosas;0.13978494623655913;0.016025641025641024;4
CienciaFiccion;amorosas;0.21505376344086022;0.001834862385321101;0
Comedia;desamor;0.21505376344086022;0.0026666666666666666;0
Misterio;desamor;0.21505376344086022;0.0027397260273972603;0
Infantil;desamor;0.21505376344086022;0.0024096385542168677;0
Romantica;desamor;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;desamor;0.21505376344086022;0.001834862385321101;0
Comedia;beso;0.21505376344086022;0.0026666666666666666;0
Misterio;beso;0.21505376344086022;0.0027397260273972603;0
Infantil;beso;0.21505376344086022;0.0024096385542168677;0
Romantica;beso;0.13978494623655913;0.00641025641025641;1
CienciaFiccion;beso;0.21505376344086022;0.001834862385321101;0
Comedia;besos;0.21505376344086022;0.0026666666666666666;0
Misterio;besos;0.21505376344086022;0.0027397260273972603;0
Infantil;besos;0.21505376344086022;0.0024096385542168677;0
Romantica;besos;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;besos;0.21505376344086022;0.001834862385321101;0
Comedia;besar;0.21505376344086022;0.0026666666666666666;0
Misterio;besar;0.21505376344086022;0.0027397260273972603;0
Infantil;besar;0.21505376344086022;0.0024096385542168677;0
Romantica;besar;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;besar;0.21505376344086022;0.001834862385321101;0
Comedia;boda;0.21505376344086022;0.0026666666666666666;0
Misterio;boda;0.21505376344086022;0.0027397260273972603;0
Infantil;boda;0.21505376344086022;0.0024096385542168677;0
Romantica;boda;0.13978494623655913;0.016025641025641024;4
CienciaFiccion;boda;0.21505376344086022;0.001834862385321101;0
Comedia;enamorado;0.21505376344086022;0.0026666666666666666;0
Misterio;enamorado;0.21505376344086022;0.00821917808219178;2
Infantil;enamorado;0.21505376344086022;0.004819277108433735;1
Romantica;enamorado;0.13978494623655913;0.019230769230769232;5
CienciaFiccion;enamorado;0.21505376344086022;0.001834862385321101;0
Comedia;enamorada;0.21505376344086022;0.0026666666666666666;0
Misterio;enamorada;0.21505376344086022;0.0027397260273972603;0
Infantil;enamorada;0.21505376344086022;0.0024096385542168677;0
Romantica;enamorada;0.13978494623655913;0.00641025641025641;1
CienciaFiccion;enamorada;0.21505376344086022;0.001834862385321101;0
Comedia;enamorados;0.21505376344086022;0.0026666666666666666;0
Misterio;enamorados;0.21505376344086022;0.0027397260273972603;0
Infantil;enamorados;0.21505376344086022;0.0024096385542168677;0
Romantica;enamorados;0.13978494623655913;0.00641025641025641;1
CienciaFiccion;enamorados;0.21505376344086022;0.001834862385321101;0
Comedia;enamoradas;0.21505376344086022;0.0026666666666666666;0
Misterio;enamoradas;0.21505376344086022;0.0027397260273972603;0
Infantil;enamoradas;0.21505376344086022;0.0024096385542168677;0
Romantica;enamoradas;0.13978494623655913;0.003205128205128205;0
CienciaFiccion;enamoradas;0.21505376344086022;0.001834862385321101;0
Comedia;romántico;0.21505376344086022;0.0026666666666666666;0
Misterio;romántico;0.21505376344086022;0.0027397260273972603;0
Infantil;romántico;0.21505376344086022;0.0024096385542168677;0
Romantica;romántico;0.13978494623655913;0.04807692307692308;14
